,precision,recall,f1-score,support
BENIGN,0.9845505617977528,0.9668965517241379,0.9756437021572721,54375.0
Bot,0.91796875,0.9812108559498957,0.9485368314833501,7185.0
DDoS,0.9967567567567568,0.9951430113329736,0.9959492303537673,27795.0
DoS GoldenEye,0.987912087912088,0.9939192924267551,0.9909065858363185,27135.0
DoS Hulk,0.9873591646056609,0.9936393805309734,0.9904893177119228,54240.0
DoS Slowhttptest,0.9870918754745635,0.9636767976278725,0.9752438109527382,20235.0
DoS slowloris,0.9706088173547935,0.9885958660014256,0.9795197740112994,21045.0
FTP-Patator,0.9885308574549426,0.9994478188845941,0.9939593629873695,27165.0
Heartbleed,1.0,0.8,0.8888888888888888,150.0
Infiltration,0.9347826086956522,0.9148936170212766,0.9247311827956989,705.0
PortScan,0.995100707675558,0.9929386203150462,0.9940184883088635,27615.0
SSH-Patator,0.9842857142857143,0.9906542056074766,0.9874596918667145,20865.0
Web Attack � Brute Force,0.6750788643533123,0.5879120879120879,0.6284875183553598,5460.0
Web Attack � Sql Injection,0.5,0.7058823529411765,0.5853658536585366,255.0
Web Attack � XSS,0.6658536585365854,0.7090909090909091,0.6867924528301886,5775.0
accuracy,0.97315,0.97315,0.97315,0.97315
macro avg,0.9050586949935586,0.9055934244911067,0.9030661794798859,300000.0
weighted avg,0.9731168133535519,0.97315,0.9729836458365138,300000.0
