,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack � Brute Force,Web Attack � Sql Injection,Web Attack � XSS
BENIGN,52575,495,15,135,390,75,120,105,0,15,60,90,90,30,180
Bot,135,7050,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,45,30,27660,0,15,0,0,0,0,0,30,15,0,0,0
DoS GoldenEye,30,15,0,26970,45,30,0,0,0,0,0,0,0,30,15
DoS Hulk,90,15,45,30,53895,0,60,45,0,0,15,0,15,15,15
DoS Slowhttptest,180,0,30,45,15,19500,375,45,0,0,0,15,15,0,15
DoS slowloris,15,15,0,0,15,90,20805,30,0,0,30,45,0,0,0
FTP-Patator,0,0,0,0,0,0,0,27150,0,0,0,15,0,0,0
Heartbleed,30,0,0,0,0,0,0,0,120,0,0,0,0,0,0
Infiltration,30,0,0,0,0,30,0,0,0,645,0,0,0,0,0
PortScan,75,15,0,0,60,0,30,0,0,0,27420,0,15,0,0
SSH-Patator,30,30,0,0,60,0,0,60,0,0,0,20670,15,0,0
Web Attack � Brute Force,135,15,0,15,45,0,45,0,0,15,0,60,3210,90,1830
Web Attack � Sql Injection,0,0,0,30,0,0,0,0,0,0,0,30,15,180,0
Web Attack � XSS,30,0,0,75,45,30,0,30,0,15,0,60,1380,15,4095
