Episode,Train_Reward,Train_Loss,Train_Accuracy,Learning_Rate,Episode_Length,Val_Accuracy,Val_Reward
1,1560,0.03897529702525889,0.604,9.999902291237878e-05,7500,0.9613333333333334,6920
2,6839,0.09053156925865244,0.9532140490390988,9.999609168808891e-05,7545,0.9613333333333334,6920
3,6994,0.08684152806980219,0.960737812911726,9.999120644285005e-05,7590,0.9613333333333334,6920
4,7061,0.08460898076982458,0.9624099541584806,9.998436736952335e-05,7635,0.9613333333333334,6920
5,7102,0.08220339271865669,0.9623697916666667,9.997557473810373e-05,7680,0.9613333333333334,6920
6,7125,0.07981427564903563,0.9611650485436893,9.996482889570919e-05,7725,0.9664724919093851,7207
7,7233,0.0775021547682918,0.9653841204478188,9.99521302665672e-05,7771,0.9664724919093851,7207
8,7258,0.0749602717115804,0.9643039918116684,9.993747935199789e-05,7816,0.9664724919093851,7207
9,7337,0.07316487381629756,0.9666709070092864,9.992087673039429e-05,7861,0.9664724919093851,7207
10,7366,0.07183883347530404,0.9658487224892487,9.990232305719946e-05,7906,0.9664724919093851,7207
11,7455,0.07053962832525487,0.9688089548484468,9.988181906488066e-05,7951,0.9669223996981512,7425
12,7492,0.0821474642139217,0.9684842421210605,9.98593655629004e-05,7996,0.9669223996981512,7425
13,7568,0.07552130103506866,0.9705297189753792,9.98349634376845e-05,8042,0.9669223996981512,7425
14,7603,0.0749183174851958,0.9700754297019909,9.980861365258707e-05,8087,0.9669223996981512,7425
15,7648,0.07351057942218224,0.970241023118544,9.97803172478525e-05,8132,0.9669223996981512,7425
16,7707,0.0720336945745463,0.9712608536137948,9.97500753405744e-05,8177,0.9650238473767886,7605
17,7744,0.06929357978328428,0.9709316468012649,9.971788912465148e-05,8222,0.9650238473767886,7605
18,7774,0.06772801766701919,0.970125786163522,9.968375987074045e-05,8268,0.9650238473767886,7605
19,7837,0.06547998576620512,0.9713701431492843,9.964768892620581e-05,8313,0.9650238473767886,7605
20,7920,0.06413137811840251,0.9737975592246949,9.96096777150667e-05,8358,0.9650238473767886,7605
21,7939,0.06232608252852325,0.9723908128049507,9.956972773794061e-05,8403,0.9633464238962275,7787
22,7926,0.06378111128001226,0.9691051136363636,9.952784057198426e-05,8448,0.9633464238962275,7787
23,8039,0.059798831767003985,0.9732721064405981,9.948401787083125e-05,8493,0.9633464238962275,7787
24,8067,0.0575043478165276,0.9723621032907834,9.943826136452677e-05,8539,0.9633464238962275,7787
25,8092,0.05650690228388387,0.9713420316868593,9.939057285945935e-05,8584,0.9633464238962275,7787
26,8173,0.05501538965588153,0.9735774713176498,9.93409542382895e-05,8629,0.9655811797427281,8035
27,8226,0.05417873550026901,0.974175697486742,9.928940745987544e-05,8674,0.9655811797427281,8035
28,8251,0.053408438121926236,0.9731620598692511,9.92359345591957e-05,8719,0.9655811797427281,8035
29,8337,0.052424541234128555,0.9755847119224187,9.918053764726885e-05,8765,0.9655811797427281,8035
30,8400,0.051703448458199436,0.9767309875141884,9.912321891107013e-05,8810,0.9655811797427281,8035
31,8435,0.050730219982535,0.9762845849802372,9.906398061344507e-05,8855,0.9683794466403162,8295
32,8478,0.05023326423762136,0.9762921348314607,9.900282509302026e-05,8900,0.9683794466403162,8295
33,8575,0.046888867657175606,0.9793180547792063,9.893975476411091e-05,8945,0.9683794466403162,8295
34,8614,0.0455395578770371,0.9790878754171302,9.887477211662562e-05,8990,0.9683794466403162,8295
35,8704,0.04465197943468034,0.9816290393979638,9.880787971596803e-05,9036,0.9683794466403162,8295
36,8699,0.044050645441524115,0.9789670741107808,9.87390802029356e-05,9081,0.9700473516132585,8537
37,8778,0.04305588248894664,0.9809335963182118,9.86683762936153e-05,9126,0.9700473516132585,8537
38,8839,0.042879613396562266,0.9818994657071203,9.85957707792764e-05,9171,0.9700473516132585,8537
39,8850,0.042772054915682624,0.9801432291666666,9.852126652626026e-05,9216,0.9700473516132585,8537
40,8862,0.04157096355390492,0.9784063917080544,9.844486647586726e-05,9262,0.9700473516132585,8537
41,8953,0.041324088474121404,0.9809820565166004,9.836657364424056e-05,9307,0.9675513054690018,8703
42,8944,0.04097505385761999,0.9781864841745082,9.828639112224707e-05,9352,0.9675513054690018,8703
43,9021,0.03867177446273203,0.9799936149835053,9.82043220753555e-05,9397,0.9675513054690018,8703
44,9048,0.037766622246855196,0.9791357763185766,9.812036974351127e-05,9442,0.9675513054690018,8703
45,9135,0.03756071064920427,0.9814482976704965,9.80345374410087e-05,9487,0.9675513054690018,8703
46,9187,0.03837323449934045,0.9818525123256058,9.794682855636013e-05,9533,0.9680058743312703,8923
47,9202,0.037487536852358276,0.9803716851117144,9.785724655216214e-05,9578,0.9680058743312703,8923
48,9249,0.03659327353929471,0.9805673906266237,9.776579496495886e-05,9623,0.9680058743312703,8923
49,9314,0.03656539807139858,0.9816921803889119,9.767247740510237e-05,9668,0.9680058743312703,8923
50,9381,0.03581082477617553,0.9829095027283022,9.757729755661015e-05,9713,0.9680058743312703,8923
51,9411,0.035856890506503786,0.9821703043344605,9.748025917701962e-05,9759,0.9688492673429655,9151
52,9416,0.03538194311406921,0.9802121583027336,9.738136609723987e-05,9804,0.9688492673429655,9151
53,9503,0.03339259162854794,0.9824347649507564,9.728062222140037e-05,9849,0.9688492673429655,9151
54,9536,0.03312484029229984,0.9819082272084091,9.717803152669683e-05,9894,0.9688492673429655,9151
55,9615,0.03205773754667374,0.9837005734983398,9.70735980632342e-05,9939,0.9688492673429655,9151
56,9632,0.0322804025242173,0.9823717948717948,9.696732595386681e-05,9984,0.96875,9360
57,9684,0.0317076103958642,0.9827517447657029,9.685921939403557e-05,10030,0.96875,9360
58,9695,0.03144346588649429,0.9811414392059553,9.674928265160234e-05,10075,0.96875,9360
59,9796,0.031350808510264165,0.9839920948616601,9.663752006668147e-05,10120,0.96875,9360
60,9827,0.03142588084331813,0.9833743236596163,9.652393605146848e-05,10165,0.96875,9360
61,9852,0.0307604601084511,0.9824681684622919,9.640853509006576e-05,10210,0.9678746327130264,9554
